ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,7/1/2021
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,2/28/2021
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,12/7/2019
N-9,Up,M,Y,Friend,USA,30,Student,R,Church,2/27/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Church,10/12/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Opinion,11/24/2019
N-9,Up,M,Y,Friend,USA,30,Student,R,Church,4/25/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,10/26/2019
N-9,Both,M,Y,Friend,USA,30,Student,R,Life,12/1/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Life,7/21/2021
N-9,Both,M,Y,Friend,USA,30,Student,R,Opinion,8/11/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Opinion,7/3/2020
N-9,Up,M,Y,Friend,USA,30,Student,R,Church,7/12/2020
N-30,Up,M,A,Alumni,China,32,NA,M,Work,10/26/2020
N-30,Up,M,A,Alumni,China,32,NA,M,Life,12/1/2020
N-30,Up,M,A,Alumni,China,32,NA,M,Life,12/7/2019
N-73,Up,M,A,Church,China,33,NA,R,Life,5/10/2020
N-73,Up,M,A,Church,China,33,NA,R,Church,4/25/2020
N-73,Up,M,A,Church,China,33,NA,R,Life,6/9/2020
N-73,Up,M,A,Church,China,33,NA,R,Life,10/31/2020
N-73,Up,M,A,Church,China,33,NA,R,Church,2/27/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Life,12/1/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Life,5/10/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Church,7/12/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Church,4/25/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Church,10/12/2020
N-35,Co,F,A,Alumni,China,30,Lawyer,S,Life,6/9/2020
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Life,12/7/2019
N-35,Up,F,A,Alumni,China,30,Lawyer,S,Church,7/12/2020
N-242,Co,M,N,Other,China,40,Professor,M,Life,7/1/2021
N-154,Co,F,A,Alumni,China,33,Engineer,M,Life,6/9/2020
N-154,Up,F,A,Alumni,China,33,Engineer,M,Life,5/10/2020
N-44,Up,M,A,Alumni,USA,30,Student,M,Life,12/1/2020
N-44,Up,M,A,Alumni,USA,30,Student,M,Life,10/31/2020
N-120,Up,M,N,Church,USA,30,Finance,M,Church,10/12/2020
N-97,Up,M,A,Church,China,30,Self-employ,R,Life,10/31/2020
N-118,Co,M,A,Church,China,33,Publisher,R,Life,6/9/2020
N-118,Up,M,A,Church,China,33,Publisher,R,Life,7/1/2021
N-118,Co,M,A,Church,China,33,Publisher,R,Life,7/16/2021
N-118,Up,M,A,Church,China,33,Publisher,R,Work,10/26/2020
N-194,Up,M,N,Work,China,35,CEO,M,Church,2/27/2020
N-194,Up,M,N,Work,China,35,CEO,M,Life,10/26/2019
N-105,Both,M,A,Church,USA,30,Student,R,Life,6/9/2020
N-105,Up,M,A,Church,USA,30,Student,R,Life,5/10/2020
N-105,Up,M,A,Church,USA,30,Student,R,Life,10/31/2020
N-105,Up,M,A,Church,USA,30,Student,R,Church,4/25/2020
N-18,Co,F,Y,Friend,USA,33,Finance,S,Life,12/1/2020
